image_file,seed_caption1,seed_caption2,seed_caption3,seed_caption4,seed_caption5,seed_caption6,seed_caption7,seed_caption8,seed_caption9,seed_caption10
image001.png,Me pretending to be productive,That moment when everything clicks,Monday mood,Living my best life,This is fine,,,,,
image002.png,That moment when everything clicks,Monday mood,Living my best life,This is fine,Big mood energy,Plot twist: it gets worse,,,,
image003.png,Monday mood,Living my best life,This is fine,Big mood energy,Plot twist: it gets worse,My therapist needs to see this,Nobody asked but here we are,,,
image004.png,Living my best life,This is fine,Big mood energy,Plot twist: it gets worse,My therapist needs to see this,Nobody asked but here we are,The accuracy is unsettling,We've all been here,,
image005.png,This is fine,Big mood energy,Plot twist: it gets worse,My therapist needs to see this,Nobody asked but here we are,The accuracy is unsettling,We've all been here,Why is this so relatable,This hits different,
image006.png,Big mood energy,Plot twist: it gets worse,My therapist needs to see this,Nobody asked but here we are,The accuracy is unsettling,We've all been here,Why is this so relatable,This hits different,I felt that,Every single time
image007.png,Plot twist: it gets worse,My therapist needs to see this,Nobody asked but here we are,The accuracy is unsettling,We've all been here,,,,,
image008.png,My therapist needs to see this,Nobody asked but here we are,The accuracy is unsettling,We've all been here,Why is this so relatable,This hits different,,,,
image009.png,Nobody asked but here we are,The accuracy is unsettling,We've all been here,Why is this so relatable,This hits different,I felt that,Every single time,,,
image010.png,The accuracy is unsettling,We've all been here,Why is this so relatable,This hits different,I felt that,Every single time,Tell me I'm wrong,This is the way,,
image011.png,We've all been here,Why is this so relatable,This hits different,I felt that,Every single time,Tell me I'm wrong,This is the way,Outstanding move,"Well yes, but actually no",
image012.png,Why is this so relatable,This hits different,I felt that,Every single time,Tell me I'm wrong,This is the way,Outstanding move,"Well yes, but actually no",I see this as an absolute win,Professionals have standards
image013.png,This hits different,I felt that,Every single time,Tell me I'm wrong,This is the way,,,,,
image014.png,I felt that,Every single time,Tell me I'm wrong,This is the way,Outstanding move,"Well yes, but actually no",,,,
image015.png,Every single time,Tell me I'm wrong,This is the way,Outstanding move,"Well yes, but actually no",I see this as an absolute win,Professionals have standards,,,
image016.png,Tell me I'm wrong,This is the way,Outstanding move,"Well yes, but actually no",I see this as an absolute win,Professionals have standards,Sometimes genius is... it's almost frightening,"Carefully, he's a hero",,
image017.png,This is the way,Outstanding move,"Well yes, but actually no",I see this as an absolute win,Professionals have standards,Sometimes genius is... it's almost frightening,"Carefully, he's a hero",Because that's what heroes do,I don't think the system works,
