prompt,phrase_1,phrase_2,phrase_3,phrase_4,phrase_5,phrase_6,phrase_7,phrase_8,phrase_9,phrase_10
a long meeting feels like,watching paint dry,endless dental work,eternity in beige,a slow marathon,trapped in amber,purgatory with slides,molasses uphill,groundhog day loop,suffocating in jargon,death by powerpoint
innovation starts with,breaking stupid rules,asking dumb questions,glorious failure,coffee and rebellion,impossible ideas,garage experiments,napkin scribbles,refusing normal,playful curiosity,wild hunches
memories are woven from,scents and echoes,golden afternoons,laughter and tears,fleeting glances,old photographs,familiar voices,fading sensations,precious fragments,tender moments,whispered secrets
always ask for,receipts and proof,extra napkins,written confirmation,help when lost,sauce on side,forgiveness not permission,clarity upfront,references first,seconds at dinner,exact pricing
always back up,your wild claims,precious photos,into parking spots,critical files,your friends,slowly and carefully,creative projects,when reversing,important contacts,essential documents
always bring,snacks and water,extra batteries,backup charger,your own pen,layers for weather,emergency cash,tissues everywhere,phone and keys,book for waiting,sense of humor
always carry,breath mints,emergency cash,backup charger,your own pen,tissues and bandaids,gum for later,small notebook,extra socks,snacks for emergencies,hand sanitizer
always double-check,your fly,recipient names,spelling on tattoos,expiration dates,locks before leaving,stove is off,passport dates,directions first,prices carefully,amounts before submitting
always follow up,with gratitude,after interviews,within three days,with action items,on doctor appointments,on promises,with questions,after meetings,on leads promptly,within a week
always label,your food clearly,cables and cords,storage boxes,frozen leftovers,kids lunch boxes,borrowed items,chemical containers,old photos,moving boxes,kitchen containers
always listen before,speaking your mind,offering advice,judging harshly,making assumptions,reacting emotionally,jumping to conclusions,forming opinions,interrupting others,giving feedback,responding angrily
always lock,your car doors,the front gate,precious valuables away,doors at night,luggage when traveling,bike securely,office cabinets,windows too,the deadbolt,garage doors
be kind to,service workers,yourself first,strangers always,difficult people,animals everywhere,your past self,elderly neighbors,weary travelers,struggling students,yourself especially
be patient with,yourself always,elderly folks,learning curves,slow progress,beginners trying hard,natural processes,other drivers,young children,healing wounds,your own growth
build habits around,morning routines,small wins daily,consistency not intensity,your energy peaks,realistic goals,enjoyable activities,existing routines,natural rhythms,core values,easy wins first
choose curiosity over,judgment always,fear and doubt,assumption and bias,pride and ego,comfort zones,certainty sometimes,anger anytime,defensiveness,knowing everything,being right
choose progress over,perfection always,speed sometimes,comfort zones,instant results,stagnant security,familiar failures,easy victories,flashy gestures,paralysis,winning battles
don't argue with,idiots online,drunk people,the internet,zealots ever,your spouse tired,customer service bots,conspiracy theorists,hungry toddlers,referees,fools publicly
don't chase,people who run,toxic relationships,unrealistic dreams,get rich schemes,perfection constantly,fleeting trends,validation from strangers,impossible standards,quick fixes,unavailable partners
don't click unknown,links ever,email attachments,pop up ads,shortened urls,sketchy downloads,suspicious emails,random invitations,strange buttons,weird websites,dubious offers
don't compare yourself to,social media highlights,other people constantly,airbrushed perfection,impossible standards,anyone else,filtered versions,fictional characters,past versions,curated feeds,your siblings
don't lend what you can't lose,especially money,to family members,like favorite books,sentimental items,your best tools,treasured belongings,original photographs,irreplaceable things,vintage records,signed first editions
don't make promises about,other people,uncertain outcomes,the future,things beyond control,weather conditions,delivery dates,your availability,results guaranteed,perfect timing,impossible deadlines
don't shop when,hungry or tired,feeling emotional,drunk or sad,angry at life,bored and restless,stressed about money,lonely or depressed,on empty stomach,seeking revenge,avoiding real problems
don't skip backups,ever seriously,for critical files,before major updates,of precious photos,when traveling abroad,of important work,especially passwords,before migrations,on production servers,during tax season
"if it's raining, trust",puddles are deeper,umbrellas always fail,drivers are worse,forecasts were wrong,shoes will leak,your gut instinct,nobody brought jackets,plans will change,sidewalks get slippery,delays are coming
keep a spare,key hidden somewhere,phone charger,tire inflated,toothbrush handy,set of keys,pair of glasses,outfit at office,change of clothes,battery charged,umbrella nearby
learn to say no to,toxic people,unreasonable demands,free work,energy vampires,guilt trips,peer pressure,cheap clients,bad deals,overcommitment,everything optional
leave early for,airports always,important interviews,first dates,medical appointments,job interviews,weddings and funerals,court appearances,international flights,train connections,rush hour traffic
never argue with,drunk people,true believers,idiots online,hungry spouses,referees ever,conspiracy theorists,sleep deprived partners,customer service bots,zealots publicly,toddlers having meltdowns
never email when,angry or drunk,tired and grumpy,emotional and reactive,call is better,face to face matters,upset about feedback,passive aggressive,crying at desk,could text instead,hungry and hangry
save receipts for,tax season,expensive purchases,business expenses,warranty claims,returns later,reimbursement forms,insurance claims,disputed charges,budget tracking,proof of purchase
sleep before deciding on,big purchases,life changes,angry responses,career moves,relationship ultimatums,major investments,drastic haircuts,vengeful texts,job offers,tattoo designs
the best way to make friends is,listening genuinely,showing up consistently,being authentically yourself,asking good questions,sharing vulnerabilities,offering help freely,being reliably present,laughing together often,showing genuine interest,remembering small details
the key to success is,showing up daily,relentless persistence,learning from failure,consistent effort,disciplined action,staying curious,embracing discomfort,helpful relationships,calculated risks,never stopping
"to boost creativity, try",random constraints,walking outside daily,napping midday,switching locations,doodling mindlessly,reading widely,talking to strangers,changing routines,playing like kids,making messy art
"to save money, always",wait before buying,compare prices first,cook at home,use coupons,automate savings,track spending daily,buy generic brands,avoid impulse purchases,negotiate prices,pack your lunch
"to stay healthy, you should",move daily,drink enough water,sleep eight hours,eat actual food,laugh more often,manage stress better,walk everywhere possible,stretch every morning,breathe deeply,limit screen time
"when in doubt, choose",kindness over cleverness,listening over speaking,honesty always,simplicity not complexity,quality over quantity,patience over speed,action over planning,less not more,silence over noise,the higher road
